work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2021,Applied Machine Learning Scientist,423000,Mid-level,Full-time,Hybrid,United States
2021,Principal Data Scientist,416000,Executive,Contract,Remote,United States
2021,Lead Data Engineer,276000,Senior,Full-time,In-person,United States
2021,ML Engineer,270000,Mid-level,Contract,Remote,United States
2021,ML Engineer,256000,Senior,Full-time,Remote,United States
2021,Cloud Data Architect,250000,Senior,Full-time,Hybrid,United States
2021,Director of Data Science,250000,Executive,Full-time,In-person,United States
2021,Data Science Manager,240000,Senior,Full-time,In-person,United States
2021,Principal Data Scientist,235000,Senior,Full-time,Remote,United States
2021,Head of Data,235000,Executive,Full-time,Remote,United States
2021,Head of Data,230000,Executive,Full-time,Hybrid,Russia
2021,Machine Learning Scientist,225000,Senior,Full-time,Remote,Canada
2021,Machine Learning Scientist,225000,Entry-level,Full-time,Remote,United States
2021,Principal Data Scientist,220000,Senior,Full-time,In-person,United States
2021,Principal Data Engineer,200000,Senior,Full-time,Remote,United States
2021,Data Engineer,200000,Mid-level,Full-time,Remote,United States
2021,Machine Learning Engineer,200000,Senior,Full-time,Remote,United States
2021,Data Engineer,200000,Mid-level,Full-time,Remote,United States
2021,Data Engineer,200000,Senior,Full-time,Remote,United States
2021,Data Analyst,200000,Senior,Full-time,Remote,United States
2021,Machine Learning Infrastructure Engineer,195000,Senior,Full-time,Remote,United States
2021,Research Scientist,187442,Mid-level,Full-time,Remote,Canada
2021,Principal Data Engineer,185000,Senior,Full-time,Remote,United States
2021,Machine Learning Engineer,185000,Senior,Full-time,Hybrid,United States
2021,Staff Machine Learning Engineer,185000,Senior,Full-time,Hybrid,United States
2021,Data Architect,180000,Mid-level,Full-time,Remote,United States
2021,Data Engineer,174000,Senior,Full-time,Remote,United States
2021,Data Science Manager,174000,Senior,Full-time,Remote,United States
2021,Principal Data Scientist,173762,Senior,Full-time,Remote,Germany
2021,Data Architect,170000,Mid-level,Full-time,Remote,United States
2021,Principal Data Analyst,170000,Senior,Full-time,Remote,United States
2021,Lead Data Analyst,170000,Senior,Full-time,Remote,United States
2021,Director of Data Science,168000,Senior,Full-time,In-person,Japan
2021,Data Specialist,165000,Senior,Full-time,Remote,United States
2021,Data Engineer,165000,Senior,Full-time,In-person,United States
2021,Data Scientist,165000,Senior,Full-time,Remote,United States
2021,Cloud Data Engineer,160000,Senior,Full-time,Remote,United States
2021,Data Scientist,160000,Mid-level,Full-time,Remote,United States
2021,Lead Data Engineer,160000,Senior,Full-time,Hybrid,United States
2021,Director of Data Science,153667,Executive,Full-time,Remote,Poland
2021,Data Engineer,153000,Senior,Full-time,Remote,United States
2021,Data Science Manager,152000,Senior,Full-time,Remote,France
2021,Principal Data Scientist,151000,Mid-level,Full-time,Remote,United States
2021,Data Scientist,150000,Mid-level,Full-time,Remote,United States
2021,BI Data Analyst,150000,Executive,Full-time,Remote,United States
2021,Data Engineer,150000,Senior,Full-time,Remote,United States
2021,Data Architect,150000,Mid-level,Full-time,Remote,United States
2021,Data Science Lead,150000,Mid-level,Full-time,Remote,United States
2021,Data Engineer,150000,Senior,Full-time,Remote,United States
2021,Data Engineer,150000,Senior,Full-time,In-person,United States
2021,Data Scientist,147000,Mid-level,Full-time,Hybrid,United States
2021,Data Science Manager,144000,Senior,Full-time,Remote,United States
2021,Director of Data Science,141846,Executive,Full-time,In-person,Germany
2021,Data Engineer,140000,Mid-level,Full-time,Remote,United States
2021,Data Analytics Manager,140000,Senior,Full-time,Remote,United States
2021,Data Scientist,135000,Senior,Full-time,In-person,United States
2021,Data Analyst,135000,Mid-level,Full-time,Remote,United States
2021,Director of Data Science,130026,Executive,Full-time,Hybrid,Germany
2021,Data Scientist,130000,Mid-level,Full-time,Hybrid,United States
2021,Data Science Engineer,127221,Senior,Full-time,Hybrid,Canada
2021,Machine Learning Engineer,125000,Entry-level,Full-time,Remote,United States
2021,Data Analytics Manager,120000,Senior,Full-time,Remote,United States
2021,Machine Learning Scientist,120000,Senior,Full-time,Hybrid,United States
2021,Data Analytics Manager,120000,Senior,Full-time,In-person,United States
2021,Data Scientist,119059,Mid-level,Full-time,Remote,Israel
2021,Data Scientist,116914,Mid-level,Full-time,Hybrid,United Kingdom
2021,Data Engineer,115000,Senior,Full-time,Remote,United States
2021,Data Analyst,115000,Senior,Full-time,Remote,United States
2021,Data Scientist,115000,Mid-level,Full-time,Hybrid,United States
2021,Data Engineer,113476,Senior,Full-time,Remote,United Kingdom
2021,Data Engineer,112000,Mid-level,Full-time,Remote,United States
2021,Data Engineer,111775,Mid-level,Full-time,In-person,United States
2021,Applied Data Scientist,110037,Entry-level,Full-time,In-person,United Kingdom
2021,Data Engineer,110000,Mid-level,Full-time,Remote,United States
2021,Head of Data Science,110000,Mid-level,Full-time,In-person,United States
2021,Data Analytics Engineer,110000,Mid-level,Full-time,Remote,United States
2021,Data Scientist,109000,Mid-level,Full-time,Hybrid,United States
2021,Staff Data Scientist,105000,Senior,Contract,Remote,United States
2021,Data Scientist,103691,Senior,Full-time,Remote,Canada
2021,Lead Data Engineer,103160,Senior,Full-time,Remote,United Kingdom
2021,Head of Data,102839,Senior,Full-time,Remote,Slovenia
2021,Data Scientist,100000,Entry-level,Full-time,In-person,United States
2021,Data Scientist,100000,Entry-level,Full-time,Remote,United States
2021,Research Scientist,100000,Entry-level,Full-time,In-person,China
2021,BI Data Analyst,100000,Mid-level,Full-time,Remote,United States
2021,Data Engineer,100000,Mid-level,Full-time,Remote,United States
2021,Machine Learning Developer,100000,Entry-level,Full-time,Hybrid,Iraq
2021,Big Data Architect,99703,Senior,Full-time,Hybrid,Canada
2021,Data Engineer,96282,Senior,Full-time,Hybrid,United Kingdom
2021,Research Scientist,96113,Senior,Full-time,Hybrid,Canada
2021,Computer Vision Software Engineer,95746,Mid-level,Full-time,Remote,United States
2021,Machine Learning Engineer,94564,Senior,Full-time,Hybrid,Germany
2021,Data Engineer,93150,Mid-level,Full-time,In-person,United States
2021,Data Analyst,93000,Mid-level,Full-time,Remote,United States
2021,Data Scientist,90734,Mid-level,Full-time,Hybrid,Germany
2021,Data Scientist,90734,Mid-level,Full-time,Hybrid,Germany
2021,Data Analyst,90000,Mid-level,Full-time,Remote,United States
2021,Data Analyst,90000,Entry-level,Full-time,Remote,United States
2021,Data Engineer,90000,Mid-level,Full-time,Remote,United States
2021,Data Scientist,90000,Entry-level,Full-time,Remote,United States
2021,Data Science Consultant,90000,Entry-level,Full-time,Remote,United States
2021,Cloud Data Engineer,89294,Mid-level,Full-time,Hybrid,Singapore
2021,Machine Learning Engineer,88654,Mid-level,Full-time,Remote,Belgium
2021,Data Scientist,88654,Mid-level,Full-time,Hybrid,Germany
2021,Marketing Data Analyst,88654,Senior,Full-time,Remote,Denmark
2021,Data Scientist,87738,Senior,Full-time,Remote,Canada
2021,Head of Data Science,85000,Executive,Full-time,In-person,Russia
2021,Machine Learning Engineer,85000,Entry-level,Full-time,Remote,Germany
2021,Machine Learning Engineer,82744,Senior,Full-time,Hybrid,Belgium
2021,Research Scientist,82528,Entry-level,Full-time,Hybrid,United Kingdom
2021,Data Engineer,82528,Mid-level,Full-time,Remote,United Kingdom
2021,Data Scientist,82500,Mid-level,Full-time,Remote,United States
2021,Machine Learning Engineer,81000,Entry-level,Full-time,Hybrid,United States
2021,Data Analyst,80000,Senior,Full-time,Remote,United States
2021,Data Analyst,80000,Entry-level,Full-time,Remote,United States
2021,Data Analyst,80000,Mid-level,Full-time,Remote,United States
2021,Data Engineer,80000,Entry-level,Full-time,Remote,United States
2021,Data Scientist,80000,Entry-level,Full-time,Remote,United States
2021,Data Analytics Engineer,79197,Senior,Full-time,Remote,Germany
2021,Data Scientist,77684,Senior,Full-time,Hybrid,France
2021,Data Engineer,76833,Senior,Full-time,Hybrid,United Kingdom
2021,Data Science Consultant,76833,Entry-level,Full-time,Remote,Germany
2021,Data Science Consultant,76833,Entry-level,Full-time,In-person,Germany
2021,Data Scientist,75774,Mid-level,Full-time,Remote,Canada
2021,Data Engineer,75050,Mid-level,Full-time,Hybrid,Australia
2021,Data Analyst,75000,Mid-level,Full-time,In-person,United States
2021,Machine Learning Engineer,74000,Mid-level,Full-time,Hybrid,Japan
2021,Data Scientist,73000,Mid-level,Full-time,In-person,United States
2021,Data Engineer,72500,Entry-level,Full-time,Remote,United States
2021,Data Engineer,72212,Mid-level,Full-time,Hybrid,United Kingdom
2021,Data Analyst,71786,Senior,Full-time,Remote,Canada
2021,Computer Vision Software Engineer,70000,Entry-level,Full-time,Remote,United States
2021,Research Scientist,69999,Mid-level,Full-time,Hybrid,Czech Republic
2021,Data Science Consultant,69741,Executive,Full-time,Remote,Spain
2021,Data Engineer,69741,Mid-level,Part-time,Remote,Netherlands
2021,Marketing Data Engineer,66970,Entry-level,Full-time,Hybrid,Singapore
2021,Data Engineer,66022,Mid-level,Full-time,Hybrid,United Kingdom
2021,Data Engineer,65013,Entry-level,Full-time,Hybrid,Germany
2021,Data Science Consultant,63831,Entry-level,Full-time,Hybrid,Germany
2021,Data Analyst,63831,Senior,Full-time,Hybrid,Germany
2021,Research Scientist,63810,Mid-level,Full-time,Remote,Canada
2021,Research Scientist,62649,Mid-level,Full-time,Hybrid,France
2021,Data Analyst,62000,Mid-level,Full-time,In-person,United States
2021,Finance Data Analyst,61896,Senior,Full-time,Hybrid,United Kingdom
2021,Data Scientist,61467,Mid-level,Full-time,Hybrid,Austria
2021,Research Scientist,60757,Senior,Full-time,Hybrid,Portugal
2021,Data Analyst,60000,Entry-level,Full-time,Remote,United States
2021,Machine Learning Developer,60000,Senior,Freelance,Remote,Nigeria
2021,Big Data Engineer,60000,Mid-level,Full-time,Hybrid,Romania
2021,Business Data Analyst,59102,Entry-level,Full-time,Remote,Luxembourg
2021,Data Analyst,59102,Entry-level,Full-time,Hybrid,France
2021,Data Scientist,58000,Entry-level,Full-time,Hybrid,United States
2021,Research Scientist,56738,Mid-level,Full-time,Hybrid,France
2021,Data Scientist,56256,Mid-level,Full-time,Hybrid,United Kingdom
2021,Business Data Analyst,56000,Mid-level,Part-time,Remote,United States
2021,AI Scientist,55000,Senior,Full-time,Remote,Spain
2021,BI Data Analyst,55000,Entry-level,Full-time,Hybrid,United States
2021,Applied Data Scientist,54238,Mid-level,Full-time,Hybrid,Canada
2021,Data Scientist,53192,Senior,Full-time,Hybrid,France
2021,Data Analyst,51519,Mid-level,Full-time,Hybrid,United Kingdom
2021,Machine Learning Engineer,51064,Mid-level,Full-time,Hybrid,Italy
2021,Data Analyst,50000,Entry-level,Full-time,Remote,United States
2021,Data Scientist,50000,Mid-level,Full-time,Remote,Nigeria
2021,Data Analyst,50000,Senior,Full-time,Remote,Philippines
2021,Research Scientist,50000,Senior,Full-time,Remote,United States
2021,Data Analytics Engineer,50000,Senior,Full-time,Remote,United Kingdom
2021,Data Scientist,49646,Entry-level,Full-time,Hybrid,France
2021,Machine Learning Engineer,47282,Mid-level,Full-time,Remote,Spain
2021,Data Scientist,46809,Mid-level,Full-time,Remote,Spain
2021,Machine Learning Engineer,46597,Mid-level,Full-time,Remote,Poland
2021,Autonomous Vehicle Technician,45555,Mid-level,Freelance,Hybrid,Bahamas
2021,Data Engineer,45391,Mid-level,Full-time,Remote,Netherlands
2021,Data Engineer,45390,Entry-level,Full-time,Hybrid,United Kingdom
2021,Data Analyst,42028,Entry-level,Full-time,Hybrid,Australia
2021,Data Science Engineer,40189,Mid-level,Full-time,Remote,Greece
2021,Applied Machine Learning Scientist,38400,Mid-level,Full-time,Remote,United States
2021,Data Scientist,37825,Mid-level,Full-time,Remote,Spain
2021,Data Scientist,36643,Entry-level,Full-time,Hybrid,France
2021,AI Scientist,30000,Mid-level,Full-time,In-person,Ghana
2021,Computer Vision Engineer,28609,Entry-level,Part-time,Hybrid,Denmark
2021,Data Engineer,28476,Mid-level,Full-time,Remote,Poland
2021,Data Engineer,28369,Mid-level,Full-time,Hybrid,Malta
2021,Data Engineer,28016,Mid-level,Full-time,Remote,Turkey
2021,Data Engineer,26005,Mid-level,Full-time,In-person,United States
2021,Data Scientist,25532,Mid-level,Full-time,Remote,Germany
2021,Machine Learning Engineer,24823,Entry-level,Full-time,Hybrid,Germany
2021,Machine Learning Engineer,24823,Mid-level,Full-time,Hybrid,Slovenia
2021,Computer Vision Engineer,24000,Senior,Full-time,Remote,Brazil
2021,Machine Learning Engineer,21844,Entry-level,Full-time,Hybrid,Colombia
2021,Data Scientist,20171,Senior,Full-time,Hybrid,Turkey
2021,Machine Learning Engineer,20000,Entry-level,Full-time,Remote,India
2021,Machine Learning Research Engineer,20000,Entry-level,Full-time,Hybrid,France
2021,Data Engineer,20000,Mid-level,Freelance,In-person,United States
2021,Computer Vision Software Engineer,19073,Entry-level,Part-time,Hybrid,Denmark
2021,Computer Vision Engineer,18907,Senior,Full-time,In-person,Brazil
2021,Big Data Engineer,18000,Mid-level,Full-time,In-person,Moldova
2021,Machine Learning Developer,15000,Entry-level,Full-time,Remote,Thailand
