work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,Machine Learning Engineer,323300,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,319000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,318300,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,318300,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,317070,Senior,Full-time,In-person,United States
2023,Data Scientist,317070,Senior,Full-time,In-person,United States
2023,Data Scientist,316000,Senior,Full-time,In-person,United States
2023,Data Scientist,316000,Senior,Full-time,In-person,United States
2023,Data Scientist,316000,Senior,Full-time,In-person,United States
2023,ML Engineer,315850,Senior,Full-time,In-person,United States
2023,ML Engineer,315850,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,315300,Senior,Full-time,Remote,United States
2023,Head of Data Science,314100,Executive,Full-time,In-person,United States
2023,Machine Learning Engineer,311000,Senior,Full-time,In-person,United States
2023,Data Scientist,310270,Senior,Full-time,In-person,United States
2023,Data Scientist,310270,Senior,Full-time,In-person,United States
2023,Data Scientist,310270,Senior,Full-time,In-person,United States
2023,Data Scientist,310270,Senior,Full-time,In-person,United States
2023,Data Scientist,310270,Senior,Full-time,In-person,United States
2023,Research Engineer,310000,Senior,Full-time,In-person,United States
2023,Data Engineer,310000,Executive,Full-time,Remote,United States
2023,Data Engineer,310000,Senior,Full-time,In-person,United States
2023,Data Engineer,310000,Executive,Full-time,Remote,United States
2023,Data Engineer,310000,Executive,Full-time,Remote,United States
2023,Data Architect,310000,Senior,Full-time,Remote,United States
2023,Data Engineer,310000,Senior,Full-time,In-person,United States
2023,Data Engineer,310000,Executive,Full-time,Remote,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Applied Scientist,309400,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,309000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,309000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,309000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,309000,Senior,Full-time,In-person,United States
