work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2022,Data Analyst,430967,Mid-level,Full-time,In-person,United Kingdom
2022,Data Analytics Lead,405000,Senior,Full-time,Remote,United States
2022,Applied Data Scientist,380000,Senior,Full-time,Remote,United States
2022,Machine Learning Software Engineer,375000,Senior,Full-time,Remote,United States
2022,Data Science Tech Lead,375000,Senior,Full-time,Hybrid,United States
2022,Data Scientist,350000,Senior,Full-time,Remote,United States
2022,Data Architect,345600,Senior,Full-time,In-person,United States
2022,Data Engineer,324000,Executive,Full-time,Remote,United States
2022,Data Engineer,315000,Senior,Full-time,Remote,United States
2022,Data Engineer,310000,Executive,Full-time,Remote,United States
2022,Data Engineer,310000,Executive,Full-time,Remote,United States
2022,Research Scientist,300000,Senior,Full-time,Remote,United States
2022,Data Engineer,300000,Senior,Full-time,In-person,United States
2022,Data Engineer,300000,Senior,Full-time,In-person,United States
2022,Data Engineer,300000,Senior,Full-time,In-person,United States
2022,Data Science Manager,300000,Senior,Full-time,Remote,United States
2022,Data Engineer,300000,Senior,Full-time,In-person,United States
2022,Data Science Manager,299500,Senior,Full-time,In-person,United States
2022,Data Engineer,297500,Executive,Full-time,Remote,United States
2022,Data Engineer,275000,Senior,Full-time,Remote,United States
2022,AI Developer,275000,Senior,Full-time,In-person,Canada
2022,Data Scientist,272550,Senior,Full-time,Remote,United States
2022,Data Architect,266400,Senior,Full-time,Remote,United States
2022,Data Science Manager,260500,Executive,Full-time,In-person,United States
2022,Data Engineer,260000,Executive,Full-time,Remote,United States
2022,Data Scientist,260000,Senior,Full-time,Remote,United States
2022,Data Engineer,260000,Mid-level,Full-time,In-person,United States
2022,Data Engineer,260000,Senior,Full-time,In-person,United States
2022,Machine Learning Engineer,255000,Senior,Full-time,Remote,Mexico
2022,Data Engineer,250000,Senior,Full-time,Remote,United States
2022,Research Engineer,250000,Senior,Full-time,In-person,United States
2022,ETL Developer,250000,Senior,Full-time,Remote,United States
2022,Data Architect,250000,Senior,Full-time,In-person,United States
2022,Data Engineer,250000,Senior,Full-time,In-person,United States
2022,Data Engineer,250000,Senior,Full-time,In-person,United States
2022,Data Engineer,250000,Senior,Full-time,In-person,United States
2022,Data Engineer,250000,Senior,Full-time,In-person,United States
2022,Data Engineer,250000,Senior,Full-time,Remote,United States
2022,Analytics Engineer,250000,Senior,Full-time,In-person,United States
2022,Data Engineer,250000,Senior,Full-time,Remote,United States
2022,ETL Developer,250000,Senior,Full-time,In-person,United States
2022,Data Architect,250000,Senior,Full-time,In-person,United States
2022,Analytics Engineer,250000,Senior,Full-time,In-person,United States
2022,ETL Developer,250000,Senior,Full-time,Remote,United States
2022,Research Scientist,249500,Senior,Full-time,In-person,United States
2022,Data Scientist,249500,Senior,Full-time,In-person,United States
2022,Research Engineer,249500,Senior,Full-time,In-person,United States
2022,Data Science Manager,249260,Senior,Full-time,In-person,United States
2022,Machine Learning Engineer,248700,Senior,Full-time,In-person,United States
2022,Machine Learning Software Engineer,248400,Senior,Full-time,Remote,Canada
2022,Data Engineer,247500,Senior,Full-time,In-person,United States
2022,Data Scientist,247500,Senior,Full-time,In-person,United States
2022,Machine Learning Engineer,247500,Senior,Full-time,In-person,United States
2022,Data Science Manager,247500,Senior,Full-time,In-person,United States
2022,Machine Learning Engineer,246000,Senior,Full-time,Remote,United States
2022,Machine Learning Engineer,246000,Senior,Full-time,Remote,United States
2022,Data Science Manager,245100,Senior,Full-time,In-person,United States
2022,Data Scientist,245000,Senior,Full-time,In-person,United States
2022,Data Scientist,245000,Senior,Full-time,In-person,United States
2022,Analytics Engineer,245000,Senior,Full-time,In-person,United States
2022,Data Scientist,243900,Senior,Full-time,Remote,United States
2022,Data Engineer,243900,Senior,Full-time,Remote,United States
2022,Data Science Manager,243225,Senior,Full-time,Remote,United States
2022,ML Engineer,243000,Senior,Full-time,Remote,United States
2022,Data Engineer,242000,Executive,Full-time,Remote,United States
2022,Data Science Manager,241000,Mid-level,Full-time,Remote,United States
2022,ML Engineer,240000,Senior,Full-time,In-person,United States
2022,Data Engineer,240000,Senior,Full-time,In-person,United States
2022,Research Engineer,240000,Mid-level,Full-time,Remote,United States
2022,Data Engineer,239000,Executive,Full-time,Remote,United States
2022,Data Engineer,239000,Executive,Full-time,Remote,United States
2022,Data Scientist,236900,Senior,Full-time,Remote,United States
2022,Data Analyst,236600,Senior,Full-time,Remote,United States
2022,Data Engineer,236000,Senior,Full-time,Remote,United States
2022,Data Architect,235000,Senior,Full-time,Remote,United States
2022,ML Engineer,235000,Senior,Full-time,Remote,United States
2022,Data Engineer,231250,Senior,Full-time,Remote,United States
2022,Data Engineer,231250,Senior,Full-time,Remote,United States
2022,Analytics Engineer,231250,Senior,Full-time,Remote,United States
2022,Analytics Engineer,231250,Senior,Full-time,Remote,United States
2022,Data Architect,230400,Senior,Full-time,In-person,United States
2022,Data Engineer,230000,Senior,Full-time,Remote,United States
2022,Machine Learning Engineer,230000,Mid-level,Full-time,In-person,United States
